,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Rikitea,4,PF,1584487686,78,-23.12,-134.97,80.97799999999997,5.32
1,Palmer,75,US,1584487649,75,42.16,-72.33,48.469999999999956,2.1
2,Samarai,38,PG,1584487692,74,-10.62,150.67,82.65199999999999,2.49
3,Conde,30,BR,1584487693,83,-7.26,-34.91,80.86999999999996,3.1
4,Tuktoyaktuk,75,CA,1584487693,84,69.45,-133.04,1.669999999999959,1.5
5,Ushuaia,40,AR,1584487638,41,-54.8,-68.3,57.469999999999956,7.2
6,Santa Cruz del Norte,75,CU,1584487694,61,23.15,-81.92,82.66999999999996,3.6
7,Touros,20,BR,1584487695,83,-5.2,-35.46,80.86999999999996,3.1
8,Koungheul,0,SN,1584487523,33,13.98,-14.8,76.04600000000005,5.35
9,Albany,75,US,1584487695,89,42.6,-73.97,46.66999999999996,4.1
10,Marsh Harbour,7,BS,1584487534,70,26.54,-77.06,72.42799999999997,3.94
11,Bluff,24,NZ,1584487620,74,-46.6,168.33,56.26400000000004,2.24
12,Halifax,90,CA,1584487416,96,44.65,-63.57,34.26799999999999,6.2
13,Bredasdorp,27,ZA,1584487472,77,-34.53,20.04,66.46999999999997,3.1
14,Bonanza,54,NI,1584487697,96,14.03,-84.59,71.52799999999996,1.25
15,Bryan,40,US,1584487697,61,30.67,-96.37,82.66999999999996,4.6
16,Awjilah,0,LY,1584487698,34,29.11,21.29,58.424000000000014,5.11
17,Hengshui,0,CN,1584487698,18,37.73,115.7,60.8,5.58
18,Tepelenë,0,AL,1584487698,60,40.3,20.02,48.272000000000034,0.89
19,Nikolskoye,75,RU,1584487699,80,59.7,30.79,39.469999999999956,4.0
20,Pevek,100,RU,1584487699,95,69.7,170.31,25.285999999999966,5.24
21,Itarema,86,BR,1584487699,88,-2.92,-39.92,76.65800000000002,1.7
22,Bushenyi,99,UG,1584487699,90,-0.59,30.21,64.52599999999998,0.24
23,Dikson,92,RU,1584487700,100,73.51,80.55,-8.320000000000014,2.88
24,Yellowknife,75,CA,1584487647,64,62.46,-114.35,2.2640000000000313,3.1
25,Avarua,100,CK,1584487471,88,-21.21,-159.78,80.86999999999996,8.2
26,Iskateley,100,RU,1584487700,93,67.68,53.15,25.627999999999965,8.66
27,Vila Franca do Campo,20,PT,1584487615,82,37.72,-25.43,55.66999999999996,1.5
28,Lambaréné,100,GA,1584487707,97,-0.7,10.24,75.57799999999997,0.85
29,Punta Arenas,75,CL,1584487447,54,-53.15,-70.92,55.66999999999996,10.8
30,Barrow,1,US,1584487708,85,71.29,-156.79,10.669999999999959,5.7
31,Ponta do Sol,40,PT,1584487600,72,32.67,-17.1,59.26999999999996,8.2
32,San Patricio,40,MX,1584487708,78,19.22,-104.7,82.66999999999996,5.1
33,Anchorage,90,US,1584487437,79,61.22,-149.9,29.26400000000003,2.1
34,Busselton,35,AU,1584487709,94,-33.65,115.33,54.266000000000005,7.81
35,Lorengau,100,PG,1584487709,76,-2.02,147.27,83.51600000000002,3.38
36,Werda,32,BW,1584487710,77,-25.27,23.28,66.29000000000002,7.88
37,Paracambi,90,BR,1584487710,94,-22.61,-43.71,75.46999999999997,6.2
38,Upernavik,30,GL,1584487710,51,72.79,-56.15,-11.794000000000025,2.83
39,Deputatsky,33,RU,1584487711,90,69.3,139.9,-17.48200000000002,2.99
40,Kavieng,100,PG,1584487711,77,-2.57,150.8,83.04800000000003,5.95
41,Tiksi,89,RU,1584487547,88,71.69,128.87,-30.58600000000002,3.53
42,Chokurdakh,100,RU,1584487579,92,70.63,147.92,-6.825999999999986,6.61
43,Puqi,1,CN,1584487712,81,29.72,113.88,54.21199999999996,0.78
44,Alofi,75,NU,1584487712,74,-19.06,-169.92,86.26999999999995,5.1
45,Thompson,5,CA,1584487462,45,55.74,-97.86,5.269999999999957,4.1
46,Loandjili,20,CG,1584487713,94,-4.76,11.86,79.06999999999996,2.1
47,Kapaa,75,US,1584487713,100,22.08,-159.32,73.66999999999996,4.1
48,Bengkulu,69,ID,1584487589,90,-3.8,102.27,74.67799999999997,1.68
49,Mataura,1,NZ,1584487481,74,-46.19,168.86,56.26400000000004,2.24
